ef_search,iterative_scan,max_scan_tuples,scan_mem_multiplier,budget_rank
40,off,100000,1,0
40,strict_order,100000,1,1
40,strict_order,1000000,8,2
40,strict_order,5000000,32,3
80,off,100000,1,0
80,strict_order,100000,1,1
80,strict_order,1000000,8,2
80,strict_order,5000000,32,3
120,off,100000,1,0
120,strict_order,100000,1,1
120,strict_order,1000000,8,2
120,strict_order,5000000,32,3
160,off,100000,1,0
160,strict_order,100000,1,1
160,strict_order,1000000,8,2
160,strict_order,5000000,32,3
250,off,100000,1,0
250,strict_order,100000,1,1
250,strict_order,1000000,8,2
250,strict_order,5000000,32,3
500,off,100000,1,0
500,strict_order,100000,1,1
500,strict_order,1000000,8,2
500,strict_order,5000000,32,3
750,off,100000,1,0
750,strict_order,100000,1,1
750,strict_order,1000000,8,2
750,strict_order,5000000,32,3
1000,off,100000,1,0
1000,strict_order,100000,1,1
1000,strict_order,1000000,8,2
1000,strict_order,5000000,32,3
1500,off,100000,1,0
1500,strict_order,100000,1,1
1500,strict_order,1000000,8,2
1500,strict_order,5000000,32,3
2000,off,100000,1,0
2000,strict_order,100000,1,1
2000,strict_order,1000000,8,2
2000,strict_order,5000000,32,3
3000,off,100000,1,0
3000,strict_order,100000,1,1
3000,strict_order,1000000,8,2
3000,strict_order,5000000,32,3
4000,off,100000,1,0
4000,strict_order,100000,1,1
4000,strict_order,1000000,8,2
4000,strict_order,5000000,32,3
5000,off,100000,1,0
5000,strict_order,100000,1,1
5000,strict_order,1000000,8,2
5000,strict_order,5000000,32,3
7000,off,100000,1,0
7000,strict_order,100000,1,1
7000,strict_order,1000000,8,2
7000,strict_order,5000000,32,3
8500,off,100000,1,0
8500,strict_order,100000,1,1
8500,strict_order,1000000,8,2
8500,strict_order,5000000,32,3
10000,off,100000,1,0
10000,strict_order,100000,1,1
10000,strict_order,1000000,8,2
10000,strict_order,5000000,32,3
